"region_class","term","estimate","std.error","p.value","p.adjusted"
"Urban","(Intercept)",1.20182166304929,0.390092265865456,0.00311378515080807,0.242875241763029
"Urban","weight",0.00257787997280313,0.0024788981277913,0.302545082538115,1
"Urban","Consumption",2.0963327348044e-08,2.05730255003592e-08,0.312307718424149,1
"Urban","SexMale",-0.0888118763325868,0.0654014610693279,0.179564649500724,1
"Urban","Age",0.0361142803077747,0.0207115486230502,0.086337085042016,1
"Urban","Father_aliveYes,but residing in onother household",0.0866307291352577,0.0801955248173335,0.284356710035165,1
"Urban","Father_aliveYes,and residing in the household",-0.0256084135081517,0.147060746997625,0.86234563796282,1
"Urban","Father_aliveDont know",0.116463305057302,0.14310838654696,0.418970751286772,1
"Urban","Mother_aliveYes and resident in household",-0.333112216666196,0.199808845813247,0.100695757973478,1
"Urban","Mother_aliveYes but residing in another household",-0.199587144755571,0.205210483783605,0.334658326324007,1
"Urban","health_probYes",-0.081863425073805,0.0777912409054727,0.296859889892493,1
"Urban","sch_attended_prev_yrFree Subsidized",-0.113987397381762,0.102332560365299,0.269767982507082,1
"Urban","sch_attended_prev_yrPrivate",-0.257170669550472,0.131585068548975,0.0553180044720931,1
"Urban","prob_in_schMediocre teaching",0.0309208802250717,0.28688744756464,0.914529399637065,1
"Urban","prob_in_schPoor buildings & equipment",-0.0147356165396707,0.143623998471081,0.918623717452347,1
"Urban","prob_in_schTeachers absent",-0.177128722697501,0.204915193556879,0.390810829000491,1
"Urban","prob_in_schBooks not available",0.03313785169005,0.196333337732896,0.866534556119785,1
"Urban","prob_in_schDon't know",0.230174523966004,0.307198326433889,0.456622053964807,1
"Urban","prob_in_schOther (specify)",-0.102134880647481,0.163684335017997,0.535009478477697,1
"Urban","Grade_2013Post primary 1",-1.20203899540014,0.506141092583783,0.0207672315003978,1
"Urban","Grade_2013Post primary 4",-1.36952476276597,0.479851821319477,0.00591685222297567,0.443763916723175
"Urban","Grade_2013Post primary 5",-1.21609182250157,0.579016363482399,0.0399169314642609,1
"Urban","Grade_2013Post primary 6,7,8",-1.53745317271138,0.59789744170841,0.0126239917279017,0.921551396136821
"Urban","Grade_2013Pre-primary",-1.09684737678451,0.366316880979015,0.00399244037115665,0.307417908579062
"Urban","Grade_2013Primary 1",-1.19172381077356,0.336059403386328,0.000765285899725027,0.0627534437774522
"Urban","Grade_2013Primary 2",-1.92201200846553,0.365588792037263,2.04702224609783e-06,0.000182184979902707
"Urban","Grade_2013Primary 3",-2.36717198257956,0.394506954301451,1.22712526134248e-07,1.15349774566193e-05
"Urban","Grade_2013Primary 4",-2.72455310190538,0.426160579647976,2.68329236376017e-08,2.54912774557216e-06
