,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
8,Kigali City,Nyarugenge,Peri urban,28.08333333,215962,Female,17,No,No,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
9,Kigali City,Nyarugenge,Peri urban,28.08333333,215962,Male,16,"Yes,but residing in onother household",Yes and resident in household,No,Primary 4,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
10,Kigali City,Nyarugenge,Peri urban,28.08333333,215962,Male,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
11,Kigali City,Nyarugenge,Peri urban,28.08333333,215962,Male,8,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
22,Kigali City,Nyarugenge,Peri urban,28.08333333,529295.5,Female,17,No,Yes and resident in household,No,Secondary 2,Secondary 3,Public,Not enough teachers,,Mother,7,Holidays,,Yes,Yes,Yes,No
23,Kigali City,Nyarugenge,Peri urban,28.08333333,529295.5,Female,15,No,Yes and resident in household,No,Secondary 1,Secondary 2,Public,Not enough teachers,,Mother,7,Holidays,,Yes,Yes,Yes,No
29,Kigali City,Nyarugenge,Peri urban,28.08333333,324579.9063,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
34,Kigali City,Nyarugenge,Peri urban,28.08333333,204558.3125,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,7,Holidays,,,,,No
35,Kigali City,Nyarugenge,Peri urban,28.08333333,204558.3125,Female,13,No,No,No,Primary 2,Primary 3,Public,No problem,,Other relatives,7,Holidays,,Yes,Yes,Yes,No
40,Kigali City,Nyarugenge,Peri urban,28.08333333,105081.2109,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Mediocre teaching,,Both parents,7,Holidays,,Yes,Yes,Yes,No
41,Kigali City,Nyarugenge,Peri urban,28.08333333,105081.2109,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Public,Mediocre teaching,,Both parents,7,Holidays,,Yes,Yes,Yes,No
42,Kigali City,Nyarugenge,Peri urban,28.08333333,105081.2109,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Mediocre teaching,,Both parents,7,Holidays,,Yes,Yes,Yes,No
43,Kigali City,Nyarugenge,Peri urban,28.08333333,105081.2109,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,Mediocre teaching,,Both parents,7,Holidays,,,,,No
46,Kigali City,Nyarugenge,Peri urban,12.95411111,203664.4063,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,Mother,,,,,,,No
49,Kigali City,Nyarugenge,Peri urban,12.95411111,80907.64063,Male,15,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,No
52,Kigali City,Nyarugenge,Peri urban,12.95411111,213823.5781,Male,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
54,Kigali City,Nyarugenge,Peri urban,12.95411111,213823.5781,Female,11,No,Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,Poor buildings & equipment,,Other household members,7,Holidays,,No,,No,No
59,Kigali City,Nyarugenge,Peri urban,12.95411111,192019.9063,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,7,Financial Reasons,,Yes,Yes,Yes,No
60,Kigali City,Nyarugenge,Peri urban,12.95411111,192019.9063,Male,8,"Yes,but residing in onother household",Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
65,Kigali City,Nyarugenge,Peri urban,12.95411111,186588.5938,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
66,Kigali City,Nyarugenge,Peri urban,12.95411111,186588.5938,Female,12,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
67,Kigali City,Nyarugenge,Peri urban,12.95411111,186588.5938,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
74,Kigali City,Nyarugenge,Peri urban,12.95411111,140969.5781,Male,18,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,No,,No,Yes
81,Kigali City,Nyarugenge,Peri urban,23.53764511,99497.99219,Female,17,No,Yes but residing in another household,No,Primary 3,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
84,Kigali City,Nyarugenge,Peri urban,23.53764511,103880.9063,Male,15,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,3,Family circumstances,,Yes,Yes,Yes,No
85,Kigali City,Nyarugenge,Peri urban,23.53764511,103880.9063,Male,8,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Mother,5,Poor health,,,,,No
88,Kigali City,Nyarugenge,Peri urban,23.53764511,103880.9063,Male,6,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,2,Poor health,,,,,No
90,Kigali City,Nyarugenge,Peri urban,23.53764511,103880.9063,Female,16,No,Yes but residing in another household,No,"Primary 6,7,8",Not in class,,,,,,,Cost,Yes,Yes,Yes,No
91,Kigali City,Nyarugenge,Peri urban,23.53764511,103880.9063,Female,16,No,No,No,Not in class,Not in class,,,,,,,Lack of interest,No,,Yes,No
